date,symbole,horizon,note,avis,entree,stop,objectif,esperance_nette_%,cout_actif_%
2026-08-13,MC.PA,5,-23.3,Neutre,463.65,476.6444,462.2688,-0.6677,0.2377
2026-08-13,MC.PA,20,-29.5,Neutre,463.65,489.6388,462.2688,-1.7003,0.4103
2026-08-13,NG=F,5,-26.1,Neutre,2.744,2.8486,2.6232,-0.5928,0.2628
2026-08-13,TSLA,20,-26.2,Neutre,333.52,360.0767,325.7539,-1.7133,0.5333
2026-08-14,MC.PA,5,-24.1,Neutre,460.0,473.3686,453.0771,-0.1387,0.2387
2026-08-14,NG=F,5,-27.0,Neutre,2.715,2.8176,2.6193,-0.4128,0.2628
2026-08-14,TSLA,5,-23.7,Neutre,342.27,360.1669,337.62,-0.5607,0.3607
2026-08-15,ETHUSDT,20,-20.3,Neutre,1884.88,1982.4681,1836.8917,0.1086,0.3514
2026-08-15,MC.PA,5,-21.1,Neutre,458.4,471.2351,453.0771,-0.2387,0.2387
2026-08-15,MC.PA,20,-27.2,Neutre,458.4,484.0703,453.0771,-1.0213,0.4113
2026-08-15,NG=F,5,-26.6,Neutre,2.733,2.8356,2.6193,-0.5428,0.2628
2026-08-15,TSLA,5,-23.2,Neutre,342.27,360.1669,337.62,-0.5607,0.3607
