date,symbole,avis,note,prix,horizon,origine,c_technique,c_prevision,c_analogues,c_moteurs,c_fondamentaux,c_saisonnalite,c_sentiment,c_brokers,c_filtre_marche,c_force_relative,c_alignement_horizons,c_note_retournee
2024-06-25,AAPL,Neutre,13.6,207.2745,20,retro,26.2,37.2,-38.8,,,,,,,,,
2024-06-25,AMZN,Favorable,47.4,186.34,20,retro,50.8,22.6,74.6,,,,,,,,,
2024-06-25,GOOGL,Favorable,40.2,182.6218,20,retro,56.4,38.8,15.1,,,,,,,,,
2024-06-25,JPM,Favorable,69.4,189.036,20,retro,60.9,70.0,82.9,,,,,,,,,
2024-06-25,META,Favorable,62.6,507.1953,20,retro,54.9,46.6,96.6,,,,,,,,,
2024-06-25,MSFT,Favorable,57.9,443.9726,20,retro,45.7,50.4,88.1,,,,,,,,,
2024-06-25,NVDA,Favorable,60.9,125.8825,20,retro,34.5,77.0,83.4,,,,,,,,,
2024-06-25,TSLA,Neutre,-21.1,187.35,20,retro,0.5,-19.0,-60.0,,,,,,,,,
2024-06-27,ZW=F,Défavorable,-30.5,559.75,20,retro,-37.0,-45.4,0.1,,,,,,,,,
2024-06-28,BZ=F,Neutre,28.7,86.41,20,retro,34.3,-25.0,91.0,,,,,,,,,
2024-06-28,CC=F,Favorable,44.8,7729.0,20,retro,-3.5,63.8,100.0,,,,,,,,,
2024-06-28,CL=F,Neutre,26.3,81.54,20,retro,32.8,-28.2,88.2,,,,,,,,,
2024-06-28,CT=F,Défavorable,-46.1,69.81,20,retro,-33.3,-49.8,-62.6,,,,,,,,,
2024-06-28,GC=F,Neutre,-7.9,2327.7,20,retro,-0.4,36.8,-31.9,-56.0,,,,,,,,
2024-06-28,HG=F,Neutre,19.7,4.3905,20,retro,-1.7,17.2,58.7,,,,,,,,,
2024-06-28,KC=F,Neutre,14.6,228.95,20,retro,31.4,-18.2,30.3,,,,,,,,,
2024-06-28,NG=F,Neutre,-24.2,2.601,20,retro,11.4,-41.8,-60.0,,,,,,,,,
2024-06-28,SI=F,Neutre,9.9,29.237,20,retro,30.5,26.0,19.8,-56.0,,,,,,,,
2024-07-02,AAPL,Favorable,50.0,218.3783,20,retro,55.8,36.0,59.0,,,,,,,,,
2024-07-02,AMZN,Favorable,48.7,200.0,20,retro,45.7,23.8,86.9,,,,,,,,,
2024-07-02,GOOGL,Favorable,37.1,183.8226,20,retro,55.5,33.6,11.2,,,,,,,,,
2024-07-02,JPM,Favorable,40.2,199.3052,20,retro,45.9,69.2,-8.2,,,,,,,,,
2024-07-02,META,Favorable,56.1,506.1026,20,retro,33.1,51.8,100.0,,,,,,,,,
2024-07-02,MSFT,Favorable,50.7,452.1738,20,retro,44.6,52.0,59.2,,,,,,,,,
2024-07-02,NVDA,Favorable,61.6,122.4681,20,retro,34.0,82.2,80.0,,,,,,,,,
2024-07-02,TSLA,Neutre,-25.0,231.26,20,retro,-2.9,-21.8,-66.1,,,,,,,,,
2024-07-05,ZW=F,Défavorable,-46.2,572.25,20,retro,-33.2,-41.8,-73.8,,,,,,,,,
2024-07-08,BZ=F,Neutre,24.0,85.75,20,retro,51.9,-21.8,38.4,,,,,,,,,
2024-07-08,CC=F,Favorable,45.3,7693.0,20,retro,-3.9,65.8,100.0,,,,,,,,,
2024-07-08,CL=F,Favorable,38.8,82.33,20,retro,52.5,-24.2,100.0,,,,,,,,,
2024-07-08,CT=F,Défavorable,-57.8,67.32,20,retro,-55.0,-44.6,-80.0,,,,,,,,,
2024-07-08,GC=F,Neutre,16.8,2355.2,20,retro,49.0,41.2,-35.4,-17.2,,,,,,,,
2024-07-08,HG=F,Neutre,16.2,4.622,20,retro,19.4,32.4,-10.6,,,,,,,,,
2024-07-08,KC=F,Neutre,-7.2,236.2,20,retro,20.5,-18.6,-38.1,,,,,,,,,
2024-07-08,NG=F,Défavorable,-47.8,2.366,20,retro,-32.2,-45.8,-76.6,,,,,,,,,
2024-07-08,SI=F,Neutre,23.1,30.618,20,retro,49.9,24.0,17.4,-17.2,,,,,,,,
2024-07-10,AAPL,Favorable,39.3,230.9791,20,retro,20.4,40.8,69.0,,,,,,,,,
2024-07-10,AMZN,Favorable,45.6,199.79,20,retro,55.9,30.2,49.0,,,,,,,,,
2024-07-10,GOOGL,Favorable,36.5,189.7171,20,retro,43.8,42.8,16.1,,,,,,,,,
2024-07-10,JPM,Favorable,42.8,199.4211,20,retro,55.7,68.4,-12.8,,,,,,,,,
2024-07-10,META,Favorable,64.1,531.1246,20,retro,55.0,61.0,83.4,,,,,,,,,
2024-07-10,MSFT,Favorable,60.2,459.0359,20,retro,57.3,56.4,70.0,,,,,,,,,
2024-07-10,NVDA,Favorable,61.2,134.688,20,retro,35.3,79.4,80.0,,,,,,,,,
2024-07-10,TSLA,Neutre,-17.5,263.26,20,retro,0.5,-14.6,-51.3,,,,,,,,,
2024-07-11,AIR.PA,Favorable,30.4,126.7175,20,retro,-17.9,41.2,96.6,,,,,,,,,
2024-07-11,MC.PA,Défavorable,-33.3,675.9136,20,retro,-22.5,-2.4,-92.7,,,,,,,,,
2024-07-11,SAN.PA,Neutre,28.3,85.0948,20,retro,54.9,26.4,-13.5,,,,,,,,,
2024-07-11,TTE.PA,Neutre,25.6,56.1986,20,retro,17.3,42.0,17.7,,,,,,,,,
2024-07-12,ZW=F,Neutre,-24.0,538.0,20,retro,-15.4,-49.4,-4.4,,,,,,,,,
2024-07-15,BZ=F,Neutre,3.4,84.85,20,retro,31.7,-24.2,-6.9,,,,,,,,,
2024-07-15,CC=F,Favorable,57.2,8463.0,20,retro,19.5,72.2,100.0,,,,,,,,,
2024-07-15,CL=F,Neutre,22.4,81.91,20,retro,32.1,-26.6,71.6,,,,,,,,,
2024-07-15,CT=F,Défavorable,-31.8,70.86,20,retro,-31.9,-41.8,-18.2,,,,,,,,,
2024-07-15,GC=F,Favorable,41.4,2422.8999,20,retro,43.3,54.0,28.5,34.3,,,,,,,,
2024-07-15,HG=F,Neutre,22.2,4.529,20,retro,18.8,40.0,4.0,,,,,,,,,
2024-07-15,KC=F,Neutre,16.1,244.15,20,retro,52.5,-4.6,-16.8,,,,,,,,,
2024-07-15,NG=F,Défavorable,-48.2,2.158,20,retro,-35.3,-50.6,-66.6,,,,,,,,,
2024-07-15,SI=F,Favorable,32.9,30.672,20,retro,50.6,42.4,-10.8,34.3,,,,,,,,
2024-07-17,AAPL,Favorable,53.5,226.9144,20,retro,56.1,37.6,70.5,,,,,,,,,
