date,symbole,interval,rv,bv,part_saut
2026-05-31,BNBUSDT,5m,0.001286359959,0.001221866242,0.0501
2026-05-31,BTCUSDT,5m,0.0001216020253,0.0001134441947,0.0671
2026-05-31,ETHUSDT,5m,0.0002102051336,0.0001968552612,0.0635
2026-05-31,SOLUSDT,5m,0.0003156307879,0.0002860488772,0.0937
2026-05-31,XRPUSDT,5m,0.000251574295,0.0002491486994,0.0096
2026-06-01,005930.KS,5m,0.001410128977,0.001400163739,0.0071
2026-06-01,0700.HK,5m,0.0004165807744,0.0004569006261,0
2026-06-01,2330.TW,5m,0.0003750451578,0.0003733207463,0.0046
2026-06-01,6758.T,5m,0.0002585367299,0.0002121479227,0.1794
2026-06-01,7203.T,5m,0.000148937638,0.0001602342299,0
2026-06-01,9984.T,5m,0.001263248787,0.001166490918,0.0766
2026-06-01,9988.HK,5m,0.0002724756434,0.0002460844938,0.0969
2026-06-01,AAPL,5m,0.0001231359878,0.0001167038372,0.0522
2026-06-01,AIR.PA,5m,0.0002099142489,0.0001554906986,0.2593
2026-06-01,AMZN,5m,0.0002493225877,0.0001887908445,0.2428
2026-06-01,ASML.AS,5m,0.000474589131,0.0004657250901,0.0187
2026-06-01,AUDUSD=X,5m,2.361121888e-05,1.805437575e-05,0.2353
2026-06-01,BNBUSDT,5m,0.002650291618,0.002257804911,0.1481
2026-06-01,BNP.PA,5m,0.0002301443078,0.0001809608088,0.2137
2026-06-01,BTCUSDT,5m,0.0003953787056,0.0003457297999,0.1256
2026-06-01,BZ=F,5m,0.001188541434,0.0008260524737,0.305
2026-06-01,CC=F,5m,0.00131266318,0.00127118641,0.0316
2026-06-01,CL=F,5m,0.001370518902,0.001122512046,0.181
2026-06-01,COST,5m,0.0001221211939,0.0001092554221,0.1054
2026-06-01,ETHUSDT,5m,0.00062255818,0.0005129337766,0.1761
2026-06-01,EURUSD=X,5m,8.898152423e-06,7.891625195e-06,0.1131
2026-06-01,GBPUSD=X,5m,1.072983569e-05,9.216705899e-06,0.141
