date,symbole,interval,spread_pct,n_ecarts
2026-05-31,BTCUSDT,5m,0.038293,287
2026-05-31,ETHUSDT,5m,0.051098,287
2026-05-31,SOLUSDT,5m,0.056106,287
2026-05-31,XRPUSDT,5m,0.009702,287
2026-06-01,0700.HK,5m,0.044859,66
2026-06-01,9984.T,5m,0.327933,65
2026-06-01,AAPL,5m,0.079013,77
2026-06-01,AIR.PA,5m,0.058885,101
2026-06-01,AUDUSD=X,5m,0.025764,287
2026-06-01,BTCUSDT,5m,0.02308,287
2026-06-01,CC=F,5m,0.190244,97
2026-06-01,ETHUSDT,5m,0.095378,287
2026-06-01,EURUSD=X,5m,0.011631,287
2026-06-01,GBPUSD=X,5m,0.010234,287
2026-06-01,GC=F,5m,0.030526,227
2026-06-01,GOOGL,5m,0.079546,77
2026-06-01,KO,5m,0.057418,77
2026-06-01,META,5m,0.135508,77
2026-06-01,MSFT,5m,0.148895,77
2026-06-01,NVDA,5m,0.244409,77
2026-06-01,NZDUSD=X,5m,0.031622,287
2026-06-01,SAN.PA,5m,0.072536,101
2026-06-01,SAP.DE,5m,0.264341,101
2026-06-01,SI=F,5m,0.031989,227
2026-06-01,SOLUSDT,5m,0.023672,287
2026-06-01,TSLA,5m,0.094767,77
2026-06-01,UNH,5m,0.133869,77
2026-06-01,USDCAD=X,5m,0.014639,287
2026-06-01,USDCHF=X,5m,0.002498,287
2026-06-01,USDJPY=X,5m,0.007169,287
2026-06-01,XOM,5m,0.090346,77
2026-06-01,ZW=F,5m,0.121737,162
2026-06-01,^FCHI,5m,0.025302,101
2026-06-01,^GDAXI,5m,0.068767,101
2026-06-01,^NDX,5m,0.018869,77
2026-06-02,005930.KS,5m,0.810571,71
2026-06-02,2330.TW,5m,0.144596,52
2026-06-02,6758.T,5m,0.26361,64
2026-06-02,9984.T,5m,0.759705,64
2026-06-02,AIR.PA,5m,0.016756,101
2026-06-02,AUDUSD=X,5m,0.007094,287
2026-06-02,BNBUSDT,5m,0.122946,287
2026-06-02,BNP.PA,5m,0.029553,101
2026-06-02,BZ=F,5m,0.059791,272
2026-06-02,CL=F,5m,0.039863,275
2026-06-02,EURUSD=X,5m,0.009172,287
2026-06-02,GBPUSD=X,5m,0.008401,287
