date,symbole,interval,rv,n_barres,vol_annualisee_%
2026-05-31,BNBUSDT,5m,0.001286359959,287,56.93528867
2026-05-31,BTCUSDT,5m,0.0001216020253,287,17.50534501
2026-05-31,ETHUSDT,5m,0.0002102051336,287,23.0155803
2026-05-31,SOLUSDT,5m,0.0003156307879,287,28.2026521
2026-05-31,XRPUSDT,5m,0.000251574295,287,25.17870575
2026-06-01,005930.KS,5m,0.001410128977,71,59.61145043
2026-06-01,0700.HK,5m,0.0004165807744,66,32.40036345
2026-06-01,2330.TW,5m,0.0003750451578,52,30.74270316
2026-06-01,6758.T,5m,0.0002585367299,66,25.52474406
2026-06-01,7203.T,5m,0.000148937638,66,19.37325083
2026-06-01,9984.T,5m,0.001263248787,65,56.42151135
2026-06-01,9988.HK,5m,0.0002724756434,66,26.20379021
2026-06-01,AAPL,5m,0.0001231359878,77,17.61541056
2026-06-01,AIR.PA,5m,0.0002099142489,101,22.99965015
2026-06-01,AMZN,5m,0.0002493225877,77,25.0657719
2026-06-01,ASML.AS,5m,0.000474589131,101,34.58272127
2026-06-01,AUDUSD=X,5m,2.361121888e-05,287,7.713641914
2026-06-01,BNBUSDT,5m,0.002650291618,287,81.72352708
2026-06-01,BNP.PA,5m,0.0002301443078,101,24.08243459
2026-06-01,BTCUSDT,5m,0.0003953787056,287,31.56508099
2026-06-01,BZ=F,5m,0.001188541434,221,54.72772984
2026-06-01,CC=F,5m,0.00131266318,97,57.51444352
2026-06-01,CL=F,5m,0.001370518902,227,58.76825361
2026-06-01,COST,5m,0.0001221211939,77,17.54267393
2026-06-01,ETHUSDT,5m,0.00062255818,287,39.60866842
2026-06-01,EURUSD=X,5m,8.898152423e-06,287,4.735329356
2026-06-01,GBPUSD=X,5m,1.072983569e-05,287,5.199921724
2026-06-01,GC=F,5m,0.0001260425655,227,17.82210047
2026-06-01,GOOGL,5m,0.0001566357016,77,19.86761103
2026-06-01,HG=F,5m,0.0001667647948,227,20.49993373
2026-06-01,JPM,5m,8.820512261e-05,77,14.90895399
2026-06-01,KC=F,5m,0.0002400735604,98,24.5964504
2026-06-01,KO,5m,6.201771741e-05,77,12.50138584
2026-06-01,MC.PA,5m,0.0003471780629,101,29.57851786
2026-06-01,META,5m,0.0003557288619,77,29.9405533
2026-06-01,MSFT,5m,0.0003138838106,77,28.12449471
2026-06-01,NG=F,5m,0.0008334897117,226,45.83005644
2026-06-01,NVDA,5m,0.0004853331572,77,34.97198245
2026-06-01,NZDUSD=X,5m,3.365296912e-05,287,9.208989205
2026-06-01,PG,5m,0.0001757269771,77,21.04357342
2026-06-01,SAN.PA,5m,0.0001080754933,101,16.50303739
2026-06-01,SAP.DE,5m,0.001055819915,101,51.58164581
2026-06-01,SI=F,5m,0.0005737292004,227,38.02364508
2026-06-01,SIE.DE,5m,0.000223129778,101,23.71259245
2026-06-01,SOLUSDT,5m,0.0007814495983,287,44.37626604
2026-06-01,TSLA,5m,0.000255974298,77,25.39793754
2026-06-01,TTE.PA,5m,0.0001337027586,101,18.355679
2026-06-01,UNH,5m,0.0001494988169,77,19.40971454
2026-06-01,USDCAD=X,5m,7.073516746e-06,287,4.221997418
2026-06-01,USDCHF=X,5m,1.592736254e-05,287,6.335373202
2026-06-01,USDJPY=X,5m,3.185303376e-06,287,2.833189812
2026-06-01,V,5m,0.0001461281659,77,19.1896581
2026-06-01,XOM,5m,0.0002742669196,77,26.28978199
2026-06-01,XRPUSDT,5m,0.000555495014,287,37.41453508
2026-06-01,ZW=F,5m,0.0002528247021,162,25.24120143
2026-06-01,^FCHI,5m,7.906397253e-05,101,14.11528288
2026-06-01,^GDAXI,5m,0.0001089910891,101,16.57279531
2026-06-01,^GSPC,5m,1.487099201e-05,77,6.121674597
2026-06-01,^HSI,5m,4.75629837e-05,69,10.94800068
2026-06-01,^KS11,5m,0.0003316935358,71,28.91137683
2026-06-01,^N225,5m,7.67047334e-05,67,13.9030906
